,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,77,NZ,1567459665,80,-46.19,168.86,48.0,4.0
1,hermanus,0,ZA,1567459665,96,-34.42,19.24,53.01,4.94
2,chokurdakh,61,RU,1567459665,71,70.62,147.9,39.83,5.14
3,grootfontein,0,NA,1567459094,6,-19.56,18.1,57.11,8.23
4,acapulco,20,MX,1567459666,66,16.86,-99.88,89.6,8.05
5,bluff,0,AU,1567459666,38,-23.58,149.07,61.07,4.07
6,punta arenas,75,PH,1567459667,88,14.18,121.12,78.01,3.36
7,bambous virieux,40,MU,1567459667,82,-20.26,57.41,69.01,4.7
8,sao joao da barra,100,IN,1567459667,91,20.51,76.21,72.77,7.83
9,makamba,3,BI,1567459668,67,-4.13,29.8,71.51,6.38
10,viedma,99,AR,1567459668,62,-40.81,-62.99,42.53,24.43
11,ugoofaaru,100,MV,1567459154,75,5.67,73.0,82.49,7.99
12,caravelas,100,BR,1567459669,82,-17.73,-39.27,74.57,10.67
13,boguchany,0,RU,1567459669,95,58.38,97.46,44.15,1.61
14,broome,100,GB,1567459669,67,52.47,1.45,64.0,12.75
15,atuona,1,PF,1567459670,70,-9.8,-139.03,79.07,14.56
16,nyurba,100,RU,1567459670,93,63.29,118.35,46.67,6.91
17,camacha,40,PT,1567459670,73,33.08,-16.33,71.6,11.41
18,tual,77,ID,1567459671,79,-5.67,132.75,75.47,19.69
19,thompson,75,CA,1567459671,47,55.74,-97.86,59.0,4.7
20,cherskiy,0,RU,1567459671,54,68.75,161.3,43.07,5.77
21,new norfolk,75,LR,1567459672,94,6.65,-10.59,78.8,10.13
22,shimoda,8,JP,1567459672,70,34.7,138.93,80.01,1.99
23,ilulissat,75,GL,1567459672,70,69.22,-51.1,42.8,4.7
24,tuktoyaktuk,20,CA,1567459673,65,69.44,-133.03,46.4,17.22
25,kawana waters,0,AU,1567459673,66,-23.33,150.51,50.0,3.58
26,khilok,98,RU,1567459673,98,51.36,110.46,55.49,3.24
27,tiarei,90,PF,1567459385,61,-17.53,-149.33,82.0,4.7
28,rikitea,100,PF,1567459674,83,-23.12,-134.97,73.13,4.16
29,saint-philippe,1,CA,1567459674,77,45.36,-73.48,73.0,12.75
30,rumford,90,US,1567459674,87,44.55,-70.55,63.0,3.56
31,tiksi,100,RU,1567459108,92,71.64,128.87,39.83,7.05
32,nelson bay,0,CA,1567459675,26,49.49,-117.29,77.27,4.07
33,mar del plata,100,CN,1567459675,92,29.86,90.73,37.49,1.63
34,luderitz,0,NA,1567459676,52,-26.65,15.16,64.4,6.93
35,marawi,93,PH,1567459676,93,8.0,124.29,73.99,4.0
36,nouadhibou,62,MR,1567459156,84,20.93,-17.03,73.13,10.56
37,salalah,90,OM,1567459157,94,17.01,54.1,78.8,5.82
38,nikolskoye,40,RU,1567459677,87,59.7,30.79,66.0,6.71
39,kruisfontein,0,ZA,1567459677,89,-34.0,24.73,49.55,3.87
40,avarua,3,CK,1567459604,53,-21.21,-159.78,71.6,9.17
41,kavieng,91,PG,1567459096,78,-2.57,150.8,82.67,14.97
42,male,0,UA,1567459678,66,50.74,33.7,64.67,5.68
43,mahebourg,40,MU,1567459678,82,-20.41,57.7,69.01,4.7
44,shache,94,CN,1567459679,92,38.42,77.24,75.99,14.88
45,kalmunai,100,LK,1567459106,75,7.42,81.82,76.19,1.54
46,avallon,29,FR,1567459679,56,47.49,3.91,53.01,4.38
47,ust-nera,26,RU,1567459680,64,64.57,143.24,44.87,3.78
48,vanimo,1,PG,1567459680,83,-2.67,141.3,79.07,7.96
